id,countryCode,date,totalCases,newCases,totalDeaths,newDeaths
4632,CIV,2020-05-31,2799,49,33,1
4633,CIV,2020-06-01,2833,34,33,0
4634,CIV,2020-06-02,2951,118,33,0
4635,CIV,2020-06-03,3024,73,33,0
4636,CIV,2020-06-04,3024,0,33,0
4637,CIV,2020-06-05,3262,238,35,2
4638,CIV,2020-06-06,3431,169,36,1
4639,CIV,2020-06-07,3557,126,36,0
4640,CIV,2020-06-08,3739,182,36,0
4641,CIV,2020-06-09,3881,142,38,2
4642,CIV,2020-06-10,3995,114,38,0
4643,HRV,2019-12-31,0,0,0,0
4644,HRV,2020-01-01,0,0,0,0
4645,HRV,2020-01-02,0,0,0,0
4646,HRV,2020-01-03,0,0,0,0
4647,HRV,2020-01-04,0,0,0,0
4648,HRV,2020-01-05,0,0,0,0
4649,HRV,2020-01-06,0,0,0,0
4650,HRV,2020-01-07,0,0,0,0
4651,HRV,2020-01-08,0,0,0,0
4652,HRV,2020-01-09,0,0,0,0
4653,HRV,2020-01-10,0,0,0,0
4654,HRV,2020-01-11,0,0,0,0
4655,HRV,2020-01-12,0,0,0,0
4656,HRV,2020-01-13,0,0,0,0
4657,HRV,2020-01-14,0,0,0,0
4658,HRV,2020-01-15,0,0,0,0
4659,HRV,2020-01-16,0,0,0,0
4660,HRV,2020-01-17,0,0,0,0
4661,HRV,2020-01-18,0,0,0,0
4662,HRV,2020-01-19,0,0,0,0
4663,HRV,2020-01-20,0,0,0,0
4664,HRV,2020-01-21,0,0,0,0
4665,HRV,2020-01-22,0,0,0,0
4666,HRV,2020-01-23,0,0,0,0
4667,HRV,2020-01-24,0,0,0,0
4668,HRV,2020-01-25,0,0,0,0
4669,HRV,2020-01-26,0,0,0,0
4670,HRV,2020-01-27,0,0,0,0
4671,HRV,2020-01-28,0,0,0,0
4672,HRV,2020-01-29,0,0,0,0
4673,HRV,2020-01-30,0,0,0,0
4674,HRV,2020-01-31,0,0,0,0
4675,HRV,2020-02-01,0,0,0,0
4676,HRV,2020-02-02,0,0,0,0
4677,HRV,2020-02-03,0,0,0,0
4678,HRV,2020-02-04,0,0,0,0
4679,HRV,2020-02-05,0,0,0,0
4680,HRV,2020-02-06,0,0,0,0
4681,HRV,2020-02-07,0,0,0,0
4682,HRV,2020-02-08,0,0,0,0
4683,HRV,2020-02-09,0,0,0,0
4684,HRV,2020-02-10,0,0,0,0
4685,HRV,2020-02-11,0,0,0,0
4686,HRV,2020-02-12,0,0,0,0
4687,HRV,2020-02-13,0,0,0,0
4688,HRV,2020-02-14,0,0,0,0
4689,HRV,2020-02-15,0,0,0,0
4690,HRV,2020-02-16,0,0,0,0
4691,HRV,2020-02-17,0,0,0,0
4692,HRV,2020-02-18,0,0,0,0
4693,HRV,2020-02-19,0,0,0,0
4694,HRV,2020-02-20,0,0,0,0
4695,HRV,2020-02-21,0,0,0,0
4696,HRV,2020-02-22,0,0,0,0
4697,HRV,2020-02-23,0,0,0,0
4698,HRV,2020-02-24,0,0,0,0
4699,HRV,2020-02-25,0,0,0,0
4700,HRV,2020-02-26,1,1,0,0
4701,HRV,2020-02-27,2,1,0,0
4702,HRV,2020-02-28,3,1,0,0
4703,HRV,2020-02-29,5,2,0,0
4704,HRV,2020-03-01,5,0,0,0
4705,HRV,2020-03-02,7,2,0,0
4706,HRV,2020-03-03,8,1,0,0
4707,HRV,2020-03-04,9,1,0,0
4708,HRV,2020-03-05,0,0,0,0
4709,HRV,2020-03-06,10,1,0,0
4710,HRV,2020-03-07,11,1,0,0
4711,HRV,2020-03-08,12,1,0,0
4712,HRV,2020-03-09,0,0,0,0
4713,HRV,2020-03-10,0,0,0,0
4714,HRV,2020-03-11,13,1,0,0
4715,HRV,2020-03-12,16,3,0,0
4716,HRV,2020-03-13,25,9,0,0
4717,HRV,2020-03-14,31,6,0,0
4718,HRV,2020-03-15,37,6,0,0
4719,HRV,2020-03-16,48,11,0,0
4720,HRV,2020-03-17,56,8,0,0
4721,HRV,2020-03-18,69,13,0,0
4722,HRV,2020-03-19,81,12,0,0
4723,HRV,2020-03-20,104,23,0,0
4724,HRV,2020-03-21,126,22,0,0
4725,HRV,2020-03-22,206,80,0,0
4726,HRV,2020-03-23,235,29,0,0
4727,HRV,2020-03-24,306,71,0,0
4728,HRV,2020-03-25,382,76,1,1
4729,HRV,2020-03-26,418,36,1,0
4730,HRV,2020-03-27,495,77,2,1
4731,HRV,2020-03-28,586,91,3,1
4732,HRV,2020-03-29,657,71,5,2
4733,HRV,2020-03-30,713,56,6,1
4734,HRV,2020-03-31,790,77,6,0
4735,HRV,2020-04-01,867,77,6,0
4736,HRV,2020-04-02,963,96,6,0
4737,HRV,2020-04-03,1011,48,7,1
4738,HRV,2020-04-04,1079,68,8,1
4739,HRV,2020-04-05,1126,47,12,4
4740,HRV,2020-04-06,1182,56,15,3
4741,HRV,2020-04-07,1222,40,16,1
4742,HRV,2020-04-08,1282,60,18,2
4743,HRV,2020-04-09,1343,61,19,1
4744,HRV,2020-04-10,1407,64,20,1
4745,HRV,2020-04-11,1495,88,21,1
4746,HRV,2020-04-12,1534,39,21,0
4747,HRV,2020-04-13,1600,66,23,2
4748,HRV,2020-04-14,1650,50,25,2
4749,HRV,2020-04-15,1704,54,31,6
4750,HRV,2020-04-16,1741,37,34,3
4751,HRV,2020-04-17,1791,50,35,1
4752,HRV,2020-04-18,1814,23,36,1
4753,HRV,2020-04-19,1832,18,39,3
4754,HRV,2020-04-20,1871,39,47,8
4755,HRV,2020-04-21,1881,10,47,0
4756,HRV,2020-04-22,1908,27,48,1
4757,HRV,2020-04-23,1950,42,48,0
4758,HRV,2020-04-24,1981,31,50,2
4759,HRV,2020-04-25,2009,28,51,1
4760,HRV,2020-04-26,2016,7,54,3
4761,HRV,2020-04-27,2030,14,55,1
4762,HRV,2020-04-28,2039,9,59,4
4763,HRV,2020-04-29,2047,8,63,4
4764,HRV,2020-04-30,2062,15,67,4
4765,HRV,2020-05-01,2076,14,69,2
4766,HRV,2020-05-02,2085,9,75,6
4767,HRV,2020-05-03,2088,3,77,2
4768,HRV,2020-05-04,2096,8,79,2
4769,HRV,2020-05-05,2101,5,80,1
4770,HRV,2020-05-06,2112,11,83,3
4771,HRV,2020-05-07,2119,7,85,2
4772,HRV,2020-05-08,2125,6,86,1
4773,HRV,2020-05-09,2161,36,86,0
4774,HRV,2020-05-10,2176,15,87,1
4775,HRV,2020-05-11,2187,11,90,3
4776,HRV,2020-05-12,2196,9,91,1
4777,HRV,2020-05-13,2207,11,91,0
4778,HRV,2020-05-14,2213,6,94,3
4779,HRV,2020-05-15,2221,8,94,0
4780,HRV,2020-05-16,2222,1,95,1
